N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
258.0,파미셀,12850.0,650.0,+5.33%,500.0,509.0,958.0,76.0
259.0,율촌화학,31000.0,1000.0,-3.12%,500.0,5387.0,6667.0,110.0
260.0,화승엔터프라이즈,12650.0,0.0,0.00%,500.0,11386.0,13303.0,71.0
261.0,대상,22100.0,0.0,0.00%,1000.0,34700.0,28705.0,1532.0
262.0,대한유화,117000.0,500.0,-0.43%,5000.0,25149.0,24789.0,1794.0
263.0,LG생활건강우,362000.0,3500.0,+0.98%,5000.0,,,
264.0,쏘카,23200.0,1550.0,-6.26%,100.0,2890.0,4332.0,-210.0
265.0,현대에너지솔루션,67100.0,1500.0,-2.19%,5000.0,5932.0,6056.0,95.0
266.0,삼성 레버리지 WTI원유 선물 ETN,1860.0,20.0,-1.06%,0.0,,,
267.0,현대건설기계,38100.0,750.0,-1.93%,5000.0,32843.0,35543.0,1607.0
268.0,우리종금,846.0,20.0,-2.31%,500.0,3033.0,51597.0,1040.0
269.0,콘텐트리중앙,38250.0,1950.0,+5.37%,5000.0,6771.0,22456.0,-574.0
270.0,현대그린푸드,7480.0,70.0,-0.93%,500.0,34861.0,31100.0,586.0
271.0,세아제강지주,175000.0,500.0,-0.28%,5000.0,28417.0,28990.0,2990.0
272.0,KODEX 자동차,18835.0,200.0,+1.07%,0.0,,,
273.0,SBS,39300.0,1850.0,+4.94%,5000.0,10790.0,14621.0,1844.0
274.0,세아베스틸지주,20000.0,1100.0,+5.82%,5000.0,36511.0,35260.0,2384.0
275.0,쿠쿠홈시스,31950.0,500.0,-1.54%,100.0,8932.0,9694.0,1786.0
276.0,넥센타이어,7330.0,840.0,+12.94%,500.0,20794.0,38234.0,44.0
277.0,영원무역홀딩스,52200.0,900.0,+1.75%,500.0,32405.0,43256.0,5705.0
278.0,세방전지,50400.0,300.0,+0.60%,500.0,13520.0,16844.0,997.0
279.0,대한해운,2205.0,20.0,-0.90%,500.0,11538.0,38597.0,2039.0
280.0,SNT모티브,47700.0,150.0,-0.31%,5000.0,9417.0,11498.0,916.0
281.0,보령,10150.0,150.0,+1.50%,500.0,6273.0,8286.0,414.0
282.0,TIGER 200 IT,27640.0,45.0,-0.16%,0.0,,,
283.0,SPC삼립,80000.0,900.0,+1.14%,5000.0,29467.0,12230.0,662.0
284.0,지누스,40050.0,600.0,-1.48%,500.0,11238.0,10186.0,743.0
285.0,SK디스커버리,36050.0,650.0,+1.84%,5000.0,66143.0,68819.0,744.0
286.0,한국단자,65500.0,600.0,+0.92%,500.0,9622.0,11252.0,762.0
287.0,코스맥스,60100.0,0.0,0.00%,500.0,15915.0,14119.0,1226.0
288.0,한섬,27500.0,150.0,+0.55%,500.0,13874.0,15571.0,1522.0
289.0,동아쏘시오홀딩스,106500.0,1500.0,+1.43%,5000.0,8819.0,16914.0,616.0
290.0,프레스티지바이오파마,11100.0,200.0,-1.77%,0.0,,6053.0,-175.0
291.0,이수화학,23850.0,50.0,+0.21%,5000.0,17033.0,11689.0,821.0
292.0,금양,12100.0,0.0,0.00%,500.0,2177.0,3148.0,121.0
293.0,F&F홀딩스,16850.0,300.0,-1.75%,500.0,7271.0,29123.0,2231.0
294.0,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),10955.0,190.0,-1.70%,0.0,,,
295.0,효성중공업,70600.0,100.0,+0.14%,5000.0,30947.0,40227.0,1201.0
296.0,신한 레버리지 WTI원유 선물 ETN(H),1300.0,25.0,-1.89%,0.0,,,
297.0,한화투자증권,3005.0,25.0,-0.83%,5000.0,19115.0,117910.0,2088.0
298.0,LX홀딩스,8310.0,60.0,+0.73%,1000.0,1858.0,14425.0,1472.0
299.0,드림텍,9340.0,20.0,+0.21%,100.0,12316.0,7330.0,961.0
300.0,부광약품,8830.0,30.0,-0.34%,500.0,1825.0,3974.0,56.0
301.0,한국카본,14200.0,200.0,+1.43%,500.0,3678.0,4984.0,327.0
302.0,DN오토모티브,62000.0,1100.0,-1.74%,500.0,9308.0,14850.0,896.0
303.0,쿠쿠홀딩스,17400.0,0.0,0.00%,100.0,6851.0,10709.0,1070.0
304.0,엠씨넥스,34250.0,750.0,-2.14%,500.0,10093.0,5255.0,239.0
305.0,TIGER CD금리투자KIS(합성),51150.0,0.0,0.00%,0.0,,,
306.0,ARIRANG 200,31790.0,235.0,-0.73%,0.0,,,
307.0,HANARO 200,31415.0,160.0,-0.51%,0.0,,,
308.0,한세실업,15150.0,100.0,+0.66%,500.0,16720.0,12162.0,1067.0
309.0,영진약품,3295.0,20.0,-0.60%,500.0,1961.0,1941.0,-139.0
310.0,HSD엔진,8390.0,180.0,-2.10%,1000.0,5990.0,7956.0,-398.0
311.0,현대홈쇼핑,49450.0,150.0,+0.30%,5000.0,22099.0,26003.0,1285.0
